"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
1,9.9178,5.08356,18.3282,13.6834,7.40002,27.6248,1.8292,24.5021,15.9707,-0.0481137,17.7645,-1.62306
2,16.2788,4.45568,16.0435,19.9961,7.67195,26.0439,4.00712,26.4307,18.8938,-6.86116,17.178,0.309046
5,17.9197,-1.49624,19.2557,19.2635,3.2551,24.1119,6.86025,21.5101,17.3434,-1.8316,19.7689,4.62668
2,16.7873,2.47533,24.7522,20.0013,5.18935,27.8916,0.734509,24.9686,18.9031,-2.96951,15.7605,-1.10171
1,10.7314,7.4306,18.2488,15.4827,7.63276,25.2403,0.16722,24.2909,18.721,-0.321854,16.5543,-4.16216
5,15.713,1.38828,24.709,8.26568,14.6249,19.6595,9.37783,22.3034,8.70397,15.1403,5.99261,7.53042
5,8.50481,5.74219,20.4162,12.7395,17.473,20.3294,7.03473,27.892,10.7078,11.0789,12.658,2.8562
2,14.2671,3.77226,23.2277,20.0694,7.04613,25.3848,-1.34154,24.7185,17.549,-4.17759,16.5387,1.44946
5,13.2261,1.48869,28.6572,7.44123,18.4378,17.2838,10.58,21.1427,9.61923,15.8729,7.78242,8.81283
1,12.9878,4.65991,15.2299,16.4827,6.59072,27.8492,4.98793,21.4065,16.813,-0.605992,18.3213,1.9829
5,4.60942,5.57073,20.178,4.98669,18.7535,18.7024,9.05858,25.4109,9.86514,9.09219,12.0533,7.14688
2,17.6071,2.14359,22.8046,23.3181,5.64358,25.9993,0.350413,21.1907,19.0936,-5.62871,14.9039,1.42753
1,9.64926,7.29914,14.1126,13.4138,7.1315,26.7146,2.9053,24.6173,17.536,0.800325,17.4121,1.75473
1,5.97954,9.1113,13.8929,16.8965,10.6222,26.6843,3.51043,23.1845,15.7551,1.29541,17.5657,2.47001
5,18.2118,4.05615,24.6278,8.18923,20.2729,13.1678,11.7561,23.0817,8.69979,16.6304,2.47153,8.07684
2,15.0715,1.4871,23.6508,21.1508,6.34269,28.484,2.29023,21.4266,19.4627,0.187247,14.8665,-0.244274
5,12.2346,-0.950188,30.4729,7.46292,19.7532,17.0543,9.22653,22.7367,8.78801,15.5569,7.2505,5.72787
5,25.7499,6.55595,12.2194,23.9178,4.97714,27.2771,11.6784,22.5356,16.5874,-1.4953,21.199,-0.0595822
2,22.797,3.44963,17.1937,21.2774,2.40269,27.4965,5.673,22.8078,21.4316,-6.10093,19.7385,6.07962
1,15.3502,4.50847,18.4825,16.1798,6.73709,27.8476,3.67215,22.1849,18.2891,-1.38324,19.0804,0.241246
5,6.13254,6.9258,19.9298,9.60817,18.0257,20.2921,7.80454,26.3797,11.704,11.1364,12.2265,4.85471
