"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
6,7.56899,-3.34192,7.09537,14.11,-3.2597,13.4015,-5.2988,7.44277,2.96299,0.265848,4.14782,-5.72775
6,7.66209,-0.809953,3.33754,nan,-3.16989,12.2864,-5.6625,8.02133,2.13109,0.164655,7.06902,-4.02656
6,5.2072,0.316089,2.29986,11.1926,nan,nan,-6.56881,10.2609,2.60361,nan,7.39893,2.35551
6,2.68311,2.32985,0.0642976,9.04638,-3.70971,11.5594,-5.6465,7.76425,2.16388,1.07194,nan,-2.44976
6,0.54584,0.674888,nan,8.4794,-2.38186,13.0469,-6.9828,7.89009,3.05159,1.4783,2.64134,nan
7,5.87297,2.57219,5.39042,8.62431,-3.22565,12.3819,-10.6912,9.43245,3.86261,-0.180262,nan,nan
6,8.48387,-3.41534,6.10926,17.4903,3.31966,13.1106,-8.31669,10.4524,2.53105,-5.95503,9.48434,-2.9495
7,7.38221,nan,nan,8.09206,-3.40216,12.8854,-9.14442,7.95706,3.01396,1.17345,7.26917,-4.62988
6,7.10634,1.01069,4.80127,11.9557,-2.11382,14.926,-6.35517,7.95131,2.0409,-0.736553,5.55177,-3.42703
6,2.53691,-3.77554,8.18266,12.1831,-3.00997,12.0831,-5.84728,10.1344,4.05909,-0.220798,3.45327,nan
6,4.60944,nan,0.89095,15.5309,2.33571,10.5333,-7.70143,8.54161,1.94811,-5.15025,6.46765,-0.619417
7,8.79056,-0.0453397,3.00207,2.41635,-4.12043,nan,-9.62558,11.7551,2.77943,-0.317435,9.01579,-2.73173
6,7.44201,-1.35149,1.97745,13.0557,-3.78246,12.8755,-5.18,6.58096,3.27444,0.568001,5.65285,-2.35856
6,5.91518,-0.588283,7.41498,nan,3.00932,14.4602,-7.40704,nan,3.12377,-1.28795,5.9209,-4.7366
7,5.62669,6.64671,3.25283,6.99831,nan,14.0292,-8.44909,11.2418,2.87392,-2.19545,6.94125,-2.21532
7,9.49417,4.51345,0.91867,9.18279,-5.47598,12.8609,-7.18428,nan,4.37082,-0.999696,6.06799,-2.26487
7,11.1159,-1.09561,4.0876,11.7418,-2.32848,14.6665,-8.20877,nan,nan,2.07439,6.8119,-3.54427
7,8.96048,0.662347,nan,7.05318,-3.8466,13.5787,-10.6134,9.0642,3.8558,1.62349,7.76953,-5.63416
6,5.57964,-3.79612,3.82578,11.4698,-2.72853,12.4735,-6.23858,6.5498,3.92738,nan,nan,-2.19308
7,4.08395,2.62331,1.54841,7.36427,-2.34016,nan,-7.55735,8.66598,4.42499,1.07385,5.547,-0.145293
6,5.01419,2.50138,0.649258,9.64987,-5.15565,10.6049,-5.61282,9.39226,2.21627,-4.03985,6.95192,4.05231
7,5.0594,0.225148,5.46981,6.82495,-3.45838,14.7664,-9.02921,9.6437,1.11225,0.093479,6.90607,-3.48147
7,4.84105,3.78926,4.47374,6.68375,-1.17873,13.7234,nan,9.96116,1.39379,-0.158923,8.35096,-3.80509
7,7.16728,3.49794,5.2655,5.81287,-3.99641,15.0353,-8.10151,11.2172,2.89802,-1.56845,7.32623,-2.53628
6,8.35468,-4.90925,6.31553,nan,-3.8923,13.489,-8.40049,6.50166,4.40663,0.819934,3.96339,-3.81042
6,1.61241,0.352478,2.0488,12.1075,3.83235,11.5779,-8.57268,9.3639,1.50677,-3.84586,8.10581,-0.448305
6,7.35354,-6.73714,nan,10.8647,-4.21718,12.5657,-6.87193,7.38419,4.6935,2.19985,4.79132,nan
6,6.95254,-5.83769,8.8799,nan,-3.68404,14.2051,-6.88504,8.28656,1.04325,1.0762,6.85067,-5.09412
6,5.08702,-0.39912,5.68142,9.55976,-1.90219,14.6103,-6.16503,9.15229,3.65234,1.96842,7.1618,nan
7,9.27318,1.96932,4.42851,6.91269,-4.32426,15.7215,-9.33113,8.65331,3.76761,nan,8.51329,-3.01697
7,nan,6.66833,-1.63539,7.44542,-1.01736,14.6931,-7.27947,8.54958,1.79232,-1.00587,nan,-1.76987
7,5.56094,1.0417,nan,7.88154,-3.54741,13.4907,nan,9.55473,2.56414,-1.5389,7.31565,-2.80505
7,10.5729,-0.569507,2.78142,7.01073,-5.08695,nan,-10.3411,7.55871,3.7644,1.70729,8.4588,-5.55612
7,10.4079,0.915515,4.31144,7.91872,-6.38479,13.6743,-7.60862,8.23512,3.55839,-0.573203,8.3441,nan
7,nan,4.75002,1.56617,nan,-0.903317,12.9962,-9.28922,10.3698,1.34596,1.33971,6.82345,-2.66334
7,6.71246,4.01763,4.00277,6.7078,-4.65534,15.1256,-7.97306,nan,2.83764,0.229732,6.8172,-1.96423
6,2.06483,-1.61053,3.80801,10.3666,-2.6783,11.6908,-7.74825,8.09406,3.42103,0.803039,4.5127,-1.86089
7,10.1732,3.07476,2.55023,11.6748,-2.75642,14.2938,-6.75529,7.83276,4.48846,2.69292,4.56085,-2.42876
6,3.18876,nan,nan,10.7723,-2.88146,12.5724,-7.45207,8.04249,2.39213,0.573497,4.4513,nan
7,8.4016,-1.66778,6.88732,7.69889,-2.71195,16.8118,-7.72126,5.93664,4.6768,1.99372,8.29393,1.28792
